iter	Passed	Remaining
880	7591	1025
881	7597	1016
882	7607	1007
883	7612	998
884	7618	989
885	7625	981
886	7631	972
887	7640	963
888	7647	954
889	7655	946
890	7663	937
891	7668	928
892	7673	919
893	7680	910
894	7690	902
895	7695	893
896	7700	884
897	7710	875
898	7717	867
899	7740	860
900	7746	851
901	7752	842
902	7758	833
903	7766	824
904	7775	816
905	7781	807
906	7789	798
907	7795	789
908	7802	781
909	7811	772
910	7820	764
911	7829	755
912	7835	746
913	7841	737
914	7848	729
915	7858	720
916	7864	711
917	7874	703
918	7881	694
919	7890	686
920	7896	677
921	7906	668
922	7912	660
923	7918	651
924	7923	642
925	7930	633
926	7940	625
927	7945	616
928	7951	607
929	7961	599
930	7973	590
931	7983	582
932	7992	573
933	8002	565
934	8012	557
935	8022	548
936	8038	540
937	8045	531
938	8052	523
939	8062	514
940	8071	506
941	8077	497
942	8082	488
943	8088	479
944	8094	471
945	8102	462
946	8109	453
947	8114	445
948	8126	436
949	8133	428
950	8142	419
951	8151	411
952	8158	402
953	8163	393
954	8169	384
955	8175	376
956	8186	367
957	8191	359
958	8196	350
959	8204	341
960	8210	333
961	8221	324
962	8237	316
963	8247	307
964	8255	299
965	8263	290
966	8273	282
967	8278	273
968	8286	265
969	8292	256
970	8298	247
971	8304	239
972	8314	230
973	8322	222
974	8327	213
975	8332	204
976	8338	196
977	8344	187
978	8354	179
979	8359	170
980	8366	162
981	8373	153
982	8379	144
983	8389	136
984	8403	127
985	8409	119
986	8416	110
987	8421	102
988	8428	93
989	8439	85
990	8445	76
991	8455	68
992	8460	59
993	8468	51
994	8477	42
995	8486	34
996	8491	25
997	8497	17
998	8502	8
999	8509	0
